question,solution
" Write a function that returns list of elements with n power to elements of list
","def n_power(l1:list, power:int)->list:
    return [i**power for i in l1]


"
" Write a function that generates fibbonacci series
","def Fibonacci(n:int)-> int:
    if n==1:
        fibonacci = 0
    elif n==2:
        fibonacci = 1
    else:
        fibonacci = Fibonacci(n-1) + Fibonacci(n-2)
    return fibonacci


"
" Write a function that returns sine value of the input
","def sin(x:float) -> float:
    import math
    return math.sin(x)

"
" Write a function that returns derivative of sine value of the input
","def derivative_sin(x:float)-> float:
    import math
    return math.cos(x)

"
" Write a function that returns tan value of the input
","def tan(x:float) -> float:
    import math
    return math.tan(x)

"
" Write a function that returns derivative of tan value of the input
","def derivative_tan(x:float)-> float:
    import math
    return (1/math.cos(x))**2


"
" Write a function that returns cosine value of the input
","def cos(x:float) -> float:
    import math
    return math.cos(x)

"
" Write a function that returns cosine value of the input
","def derivative_cos(x:float)-> float:
    import math
    return -(math.sin(x))


"
" Write a function that returns the exponential value of the input
","def exp(x) -> float:
    import math
    return math.exp(x)

"
" Write a function that returns Gets the derivative of exponential of x
","def derivative_exp(x:float) -> float:
    import math
    return math.exp(x)


"
" Write a function that returns log of a function
","def log(x:float)->float:
    import math
    return math.log(x)

"
" Write a function that returns derivative of log of a function
","def derivative_log(x:float)->float:
    return (1/x)


"
" Write a function that returns relu value of the input
","def relu(x:float) -> float:
    x = 0 if x < 0 else x
    return x

"
" Write a function that returns derivative derivative relu value of the input
","def derivative_relu(x:float) -> float:
    x = 1 if x > 0 else 0
    return x


"
" Write a function that returns runs a garbage collector
","def clear_memory():
    import gc
    gc.collect()

"
" Write a function that calculates the average time taken to perform any transaction by  Function fn averaging the total time taken for transaction over Repetations
","def time_it(fn, *args, repetitons= 1, **kwargs):
    import time
    total_time = []

    for _ in range(repetitons):
        start_time = time.perf_counter()
        fn(*args,**kwargs)
        end_time = time.perf_counter()
        ins_time = end_time - start_time
        total_time.append(ins_time)
    return sum(total_time)/len(total_time)


"
" Write a function to identify if value is present inside a dictionary or not
","def check_value(d:dict, value)->bool:
    return any(v == value for v in dict.values())

"
" Write a function to identify to count no of instances of a value  inside a dictionary
","def count_value(d:dict, value)->bool:
    return list(v == value for v in dict.values()).count(True)

"
" Write a function to identify if value is present inside a list or not
","def check_listvalue(l:list, value)->bool:
    return value in l

"
" Write a function to identify if value is present inside a tuple or not
","def check_tuplevalue(l:tuple, value)->bool:
    return value in l

"
" Write a function that returns lowercase string
","def str_lowercase(s:str):
    return s.lower()

"
" Write a function that returns uppercase string
","def str_uppercase(s:str):
    return s.upper()

"
" Write a function that removes all special characters
","def clean_str(s):
    import re
    return re.sub('[^A-Za-z0-9]+', '', s)

"
" Write a function that returns a list sorted ascending
","def ascending_sort(l:list):
    sorted(l, reverse=False)

"
" Write a function that returns a list sorted descending
","def descending_sort(l:list):
    sorted(l, reverse=True)

"
" Write a function that returns a dictionary sorted descending by its values
","def descending_dict_valuesort(d:dict):
    return {key: val for key, val in sorted(d.items(), reverse=True, key = lambda ele: ele[1])}

"
" Write a function that returns a dictionary sorted ascending by its values
","def ascending_dict_valuesort(d:dict):
    return {key: val for key, val in sorted(d.items(), key = lambda ele: ele[1])}

"
" Write a function that returns a dictionary sorted descending by its keys
","def descending_dict_keysort(d:dict):
    return {key: val for key, val in sorted(d.items(), reverse=True, key = lambda ele: ele[0])}

"
" Write a function that returns a dictionary sorted ascending by its keys
","def ascending_dict_keysort(d:dict):
    return {key: val for key, val in sorted(d.items(), key = lambda ele: ele[0])}

"
" Write a function that returns a replace values in string with values provided
","def replace_values(s:str, old, new)->str:
    s.replace(old, new)

"
" Write a function that joins elements of list
","def join_elements(l:list)-> str:
    return (''.join(str(l)))

"
" Write a function that splits the elements of string
","def split_elements(s:str, seperator)-> list:
    return s.split(seperator)

"
" Write a function that returns sum of all elements in the list
","def sum_elements(l:list):
    return sum(l)

"
" Write a function that returns sum of all odd elements in the list
","def sum_even_elements(l:list):
    return sum([i for i in l if i%2==0])

"
" Write a function that returns sum of all odd elements in the list
","def sum_odd_elements(l:list):
    return sum([i for i in l if i%2==1])

"
"1 write a program to reverse a list 
","lst = [11, 5, 17, 18, 23]
def reverse(lst): 
    new_lst = lst[::-1] 
    return new_lst
	
"
"2 write a program to find sum of elements in list
","list1 = [11, 5, 17, 18, 23]
total = sum(list1)
print(""Sum of all elements in given list: "", total)

"
"3 write a program to find the largest number in a list 
","list1 = [10, 20, 4, 45, 99] 
list1.sort() 
print(""Largest element is:"", list1[-1]) 

"
"4 write a program to print Even Numbers in a List 
","list1 = [10, 21, 4, 45, 66, 93] 
for num in list1: 
    if num % 2 == 0: 
       print(num, end = "" "") 
       
"
"5 write a program to print negative Numbers in given range 
","start, end = -4, 19
for num in range(start, end + 1): 
    if num < 0: 
        print(num, end = "" "") 
        
"
"6 write a program to remove empty List from List using list comprehension 
","test_list = [5, 6, [], 3, [], [], 9] 
print(""The original list is : "" + str(test_list)) 
res = [ele for ele in test_list if ele != []] 
print (""List after empty list removal : "" + str(res)) 

"
"7 write a  program to remove empty tuples from a list of tuples 
","def Remove(tuples): 
    tuples = filter(None, tuples) 
    return tuples 
  

tuples = [(), ('ram','15','8'), (), ('laxman', 'sita'),  
          ('krishna', 'akbar', '45'), ('',''),()] 
print Remove(tuples)

"
"8 write a program to break a list into chunks of size N
","l = [1, 2, 3, 4, 5, 6, 7, 8, 9]  
n = 4 
x = [l[i:i + n] for i in range(0, len(l), n)]  
print(x)

"
"9 write a program to find the frequency of words present in a string  
","  
test_str = 'times of india times new india express'
print(""The original string is : "" + str(test_str)) 

res = {key: test_str.count(key) for key in test_str.split()} 
print(""The words frequency : "" + str(res))

"
"10 write a program to accept a string if it contains all vowels
","def check(string): 
  if len(set(string).intersection(""AEIOUaeiou""))>=5: 
    return ('accepted') 
  else: 
    return (""not accepted"") 
  
if __name__==""__main__"": 
  string=""helloworld""
  print(check(string)) 
  

"
"11 write a program to rotate string left and right by d length  
","def rotate(input,d):  
  
    Lfirst = input[0 : d]  
    Lsecond = input[d :]  
    Rfirst = input[0 : len(input)-d]  
    Rsecond = input[len(input)-d : ]  
  
    print (""Left Rotation : "", (Lsecond + Lfirst) ) 
    print (""Right Rotation : "", (Rsecond + Rfirst))  
  
if __name__ == ""__main__"":  
    input = 'helloworld'
    d=2
    rotate(input,d) 
    

"
"12 write a program to convert key-values list to flat dictionary 
","
from itertools import product 
test_dict = {'month' : [1, 2, 3], 
             'name' : ['Jan', 'Feb', 'March']} 
  
print(""The original dictionary is : "" + str(test_dict)) 
  
res = dict(zip(test_dict['month'], test_dict['name'])) 
print(""Flattened dictionary : "" + str(res)) 

"
" write a program to remove the duplicate words 
","s = ""Hello world Hello""
l = s.split() 
k = [] 
for i in l: 
    if (s.count(i)>1 and (i not in k)or s.count(i)==1): 
        k.append(i) 
print(' '.join(k)) 


"
"13 write a program to convert into dictionary 
","def Convert(tup, di): 
    for a, b in tup: 
        di.setdefault(a, []).append(b) 
    return di 
      
tups = [(""A"", 10), (""B"", 20), (""C"", 30),  
     (""D"", 40), (""E"", 50), (""F"", 60)] 
dictionary = {} 
print (Convert(tups, dictionary)) 


"
"14 write program to extract digits from Tuple list 
","from itertools import chain 
test_list = [(15, 3), (3, 9), (1, 10), (99, 2)] 
print(""The original list is : "" + str(test_list)) 
temp = map(lambda ele: str(ele), chain.from_iterable(test_list)) 
res = set() 
for sub in temp: 
    for ele in sub: 
        res.add(ele) 
print(""The extrated digits : "" + str(res))  

"
"15 write a program to Remove Tuples of Length K Using list comprehension 
","  
test_list = [(4, 5), (4, ), (8, 6, 7), (1, ), (3, 4, 6, 7)] 
print(""The original list : "" + str(test_list)) 
K = 1
res = [ele for ele in test_list if len(ele) != K] 
print(""Filtered list : "" + str(res)) 

"
"16 write a program to find Maximum and Minimum K elements in Tuple 
","test_tup = (5, 20, 3, 7, 6, 8) 
print(""The original tuple is : "" + str(test_tup)) 
K = 2
test_tup = list(test_tup) 
temp = sorted(test_tup) 
res = tuple(temp[:K] + temp[-K:]) 
print(""The extracted values : "" + str(res))  

"
"17 write a program to get current date and time 
","import datetime  
current_time = datetime.datetime.now()  
    
print (""Time now at greenwich meridian is : "" , end = """")  
print (current_time)

"
"18 write a program to convert time from 12 hour to 24 hour format 
","  
def convert24(str1): 
      
    # Checking if last two elements of time 
    # is AM and first two elements are 12 
    if str1[-2:] == ""AM"" and str1[:2] == ""12"": 
        return ""00"" + str1[2:-2] 
          
    # remove the AM     
    elif str1[-2:] == ""AM"": 
        return str1[:-2] 
      
    # Checking if last two elements of time 
    # is PM and first two elements are 12    
    elif str1[-2:] == ""PM"" and str1[:2] == ""12"": 
        return str1[:-2] 
          
    else: 
          
        # add 12 to hours and remove PM 
        return str(int(str1[:2]) + 12) + str1[2:8] 
  
         
print(convert24(""08:05:45 PM""))  
  
  
"
" function to obtain the time in minutes form 
","def difference(h1, m1, h2, m2): 
      
    # convert h1 : m1 into minutes 
    t1 = h1 * 60 + m1 
      
    # convert h2 : m2 into minutes  
    t2 = h2 * 60 + m2 
      
    if (t1 == t2):  
        print(""Both are same times"") 
        return 
    else: 
          
        # calculating the difference 
        diff = t2-t1 
          
    # calculating hours from difference 
    h = (int(diff / 60)) % 24
      
    # calculating minutes from difference 
    m = diff % 60
  
    print(h, "":"", m) 
  
 
if __name__ == ""__main__"": 
      
    difference(7, 20, 9, 45) 
    difference(15, 23, 18, 54) 
    difference(16, 20, 16, 20) 
    
"
"20 write program to find yesterday, today and tomorrow 
","  

from datetime import datetime, timedelta #Import datetime and timedelta class from datetime module

presentday = datetime.now() # or presentday = datetime.today() # Get today's date 

yesterday = presentday - timedelta(1) # Get Yesterday

tomorrow = presentday + timedelta(1) # Get Tomorrow 
  

print(""Yesterday = "", yesterday.strftime('%d-%m-%Y')) 
print(""Today = "", presentday.strftime('%d-%m-%Y')) 
print(""Tomorrow = "", tomorrow.strftime('%d-%m-%Y')) 

"
"21 write a program to remove all the characters except numbers and alphabets 
","  
import re 
  
ini_string = ""123abcjw:, .@! eiw"" # initialising string 
  
print (""initial string : "", ini_string) # printing initial string 
  
result = re.sub('[\W_]+', '', ini_string) 
  
print (""final string"", result) # printing final string 

"
"22 write a program to merge dict using update() method
","def Merge(dict1, dict2):
    return(dict2.update(dict1))
     

dict1 = {'a': 10, 'b': 8}
dict2 = {'d': 6, 'c': 4}
 
print(Merge(dict1, dict2))
print(dict2)

"
"23 write a program to print even length words in a string  
","  
def printWords(s): 
    s = s.split(' ')  
    for word in s:  
        if len(word)%2==0: 
            print(word)  
 
s = ""hello world"" 
printWords(s)

"
"24 write a program to delete all duplicate letters in a string 
","
def removeDuplicate(str): 
    s=set(str) 
    s="""".join(s) 
    print(""Without Order:"",s) 
    t="""" 
    for i in str: 
        if(i in t): 
            pass
        else: 
            t=t+i 
        print(""With Order:"",t) 
      
str=""helloworld""
removeDuplicate(str) 

"
"25 write a program to print Maximum frequency character in String 
","  
test_str = ""Helloworld"" # initializing string  
  
print (""The original string is : "" + test_str) 
  
all_freq = {} 
for i in test_str: 
    if i in all_freq: 
        all_freq[i] += 1
    else: 
        all_freq[i] = 1
res = max(all_freq, key = all_freq.get)  
  
print (""The maximum of all characters in Helloworld is : "" + str(res)) 

"
"26 write a program to check if a string contains any special character 
","  
import re 
def run(string): 
  
    regex = re.compile('[@_!#$%^&*()<>?/\|}{~:]') 
      
    if(regex.search(string) == None): 
        print(""String is accepted"") 
          
    else: 
        print(""String is not accepted."") 
      
  
if __name__ == '__main__' : 
      
    # Enter the string 
    string = ""Hello@World""
      
    # calling run function  
    run(string) 
    
"
"27 write a program to check if a string is binary or not 
","def check(string) : 
    p = set(string) 
    s = {'0', '1'} 
    if s == p or p == {'0'} or p == {'1'}: 
        print(""Yes"") 
    else : 
        print(""No"") 
          

if __name__ == ""__main__"" : 
  
    string = ""101010000111""
    check(string) 
   
"
"28 write a program to check whether a given string is Heterogram or not  
","  
def heterogram(input): 
  
     alphabets = [ ch for ch in input if ( ord(ch) >= ord('a') and ord(ch) <= ord('z') )] 
  
     if len(set(alphabets))==len(alphabets): 
         print ('Yes') 
     else: 
         print ('No') 
  
if __name__ == ""__main__"": 
    input = 'Hello World'
    heterogram(input) 

"
"29 write a program to check whether a given key already exists in a dictionary. 
","  
def checkKey(dict, key): 
      
    if key in dict.keys(): 
        print(""Present, "", end ="" "") 
        print(""value ="", dict[key]) 
    else: 
        print(""Not present"") 
  

dict = {'a': 100, 'b':200, 'c':300} 
  
key = 'b'
checkKey(dict, key) 
  
key = 'w'
checkKey(dict, key) 

"
"30 write a program to check whether the string is a palindrome or not 
","def isPalindrome(s):
    return s == s[::-1]
s = ""malayalam""
ans = isPalindrome(s)
 
if ans:
    print(""Yes"")
else:
    print(""No"")

"
"31 write a program that extract words starting with Vowel From A list
","test_list = [""have"", ""a"", ""good"", ""one""] # initializing list 
  
print(""The original list is : "" + str(test_list)) # printing original list 
  
res = [] 
vow = ""aeiou""
for sub in test_list: 
    flag = False
      
    # checking for begin char 
    for ele in vow: 
        if sub.startswith(ele): 
            flag = True 
            break
    if flag: 
        res.append(sub) 
   
print(""The extracted words : "" + str(res)) # printing result 

"
"32 write a program to replace vowels by next vowel using list comprehension + zip() 
","  
test_str = 'helloworld'
print(""The original string is : "" + str(test_str)) 
vow = 'a e i o u'.split() 
temp = dict(zip(vow, vow[1:] + [vow[0]])) 
res = """".join([temp.get(ele, ele) for ele in test_str]) 
print(""The replaced string : "" + str(res)) 

"
"33 write a program to reverse words of string  
","  
def rev_sentence(sentence):  
    words = sentence.split(' ')  
    reverse_sentence = ' '.join(reversed(words))  
    return reverse_sentence  
  
if __name__ == ""__main__"":  
    input = 'have a good day'
    print (rev_sentence(input)) 
    
"
"34 write a program to find the least Frequent Character in String 
","
test_str = ""helloworld""
print (""The original string is : "" + test_str) 
all_freq = {} 
for i in test_str: 
    if i in all_freq: 
        all_freq[i] += 1
    else: 
        all_freq[i] = 1
res = min(all_freq, key = all_freq.get)  
  
print (""The minimum of all characters in the given word is : "" + str(res)) 

"
"35 write a program to find the most frequent element in a list 
","  
def most_frequent(List): 
    counter = 0
    num = List[0] 
      
    for i in List: 
        curr_frequency = List.count(i) 
        if(curr_frequency> counter): 
            counter = curr_frequency 
            num = i 
  
    return num 
  
List = [2, 1, 2, 2, 1, 3] 
print(most_frequent(List)) 

"
"36 write a program insert character after every character pair 
","  
test_str = ""HellowWorld"" # initializing string  

print(""The original string is : "" + test_str) 
res = ', '.join(test_str[i:i + 2] for i in range(0, len(test_str), 2)) 
 
print(""The string after inserting comma after every character pair : "" + res) 

"
"37 write a program to remove i-th indexed character from a string 
","  
def remove(string, i):  
  
    a = string[ : i]  
    b = string[i + 1: ] 
    return a + b 

if __name__ == '__main__': 
      
    string = ""HellowWorld""
      
    # Remove nth index element 
    i = 5
    
    # Print the new string 
    print(remove(string, i)) 

"
"38 write a program to check if a string has at least one letter and one number
","def checkString(str): 
    
    flag_l = False
    flag_n = False
      
    for i in str: 
        
        # if string has letter 
        if i.isalpha(): 
            flag_l = True
  
        # if string has number 
        if i.isdigit(): 
            flag_n = True
      
    return flag_l and flag_n 
  
  

print(checkString('helloworld')) 
print(checkString('helloworld2020'))

"
"39 write a program extract least frequency element 
","
from collections import defaultdict 
test_list = [1, 3, 4, 5, 1, 3, 5] 
  
"
" printing original list  
","print(""The original list : "" + str(test_list)) 
  
"
" Extract least frequency element 
","res = defaultdict(int) 
for ele in test_list: 
   res[ele] += 1 
min_occ = 9999
for ele in res: 
    if min_occ > res[ele]: 
        min_occ = res[ele] 
        tar_ele = ele 
  
"
" printing result 
","print(""The minimum occurring element is : "" + str(tar_ele)) 

"
"40 write a program to check 2 lists and find if any element is common
","  
def common_data(list1, list2): 
    result = False
  
    for x in list1: 
  
        # traverse in the 2nd list 
        for y in list2: 
    
            # if one common 
            if x == y: 
                result = True
                return result  
                  
    return result 
      

a = [1, 2, 3, 4, 5] 
b = [5, 6, 7, 8, 9] 
print(common_data(a, b)) 
  
a = [1, 2, 3, 4, 5] 
b = [6, 7, 8, 9] 
print(common_data(a, b)) 

"
"41 write a program to find area of a triangle
","
a = float(input('Enter first side: '))  
b = float(input('Enter second side: '))  
c = float(input('Enter third side: '))  
  
s = (a + b + c) / 2  
  
area = (s*(s-a)*(s-b)*(s-c)) ** 0.5  
print('The area of the triangle is %0.2f' %area)   

"
"42 write a program to swap two variables
","x = input('Enter value of x: ')  
y = input('Enter value of y: ')  
  
temp = x  
x = y  
y = temp  
 
print('The value of x after swapping: {}'.format(x))  
print('The value of y after swapping: {}'.format(y)) 

"
"43 write a program to convert kilometers to miles
","
kilometers = float(input('How many kilometers?: '))  
conv_fac = 0.621371  
miles = kilometers * conv_fac  
print('%0.3f kilometers is equal to %0.3f miles' %(kilometers,miles))  

"
"44 write a program to convert Celsius to Fahrenheit
","
celsius = float(input('Enter temperature in Celsius: '))  
fahrenheit = (celsius * 1.8) + 32  
print('%0.1f  Celsius is equal to %0.1f degree Fahrenheit'%(celsius,fahrenheit))  

"
"45 write a program to display the calender
","
import calendar  
yy = int(input(""Enter year: ""))  
mm = int(input(""Enter month: ""))  
  
print(calendar.month(yy,mm))  

"
"46 write a program to check if the year is a leap year
","
year = int(input(""Enter a year: ""))  
if (year % 4) == 0:  
   if (year % 100) == 0:  
       if (year % 400) == 0:  
           print(""{0} is a leap year"".format(year))  
       else:  
           print(""{0} is not a leap year"".format(year))  
   else:  
       print(""{0} is a leap year"".format(year))  
else:  
   print(""{0} is not a leap year"".format(year))  
   
"
"47 write a program to check if the number is a prime numnber
","
num = int(input(""Enter a number: ""))  
  
if num > 1:  
   for i in range(2,num):  
       if (num % i) == 0:  
           print(num,""is not a prime number"")  
           print(i,""times"",num//i,""is"",num)  
           break  
   else:  
       print(num,""is a prime number"")  
         
else:  
   print(num,""is not a prime number"")  
   
"
"48 write a program to print all prime numbers between an interval
","
lower = int(input(""Enter lower range: ""))  
upper = int(input(""Enter upper range: ""))  
  
for num in range(lower,upper + 1):
    if num > 1:
        for i in range(2,num):
            if (num % i) == 0:
                break  
    else:
        print(num)  
           
"
"49 write a program to find the factorial of a number
","
num = int(input(""Enter a number: ""))  
factorial = 1  
if num < 0:  
   print(""Sorry, factorial does not exist for negative numbers"")  
elif num == 0:  
   print(""The factorial of 0 is 1"")  
else:  
   for i in range(1,num + 1):  
       factorial = factorial*i  
   print(""The factorial of"",num,""is"",factorial) 
   
"
"50 write a program to display the multiplication table of a number
","
num = int(input(""Show the multiplication table of? ""))  
"
" using for loop to iterate multiplication 10 times   
","for i in range(1,11):  
   print(num,'x',i,'=',num*i)  
   
"
"51 write a program to print Fibonacci sequence
","
nterms = int(input(""How many terms you want? ""))  
"
" first two terms  
","n1 = 0  
n2 = 1  
count = 2  
"
" check if the number of terms is valid  
","if nterms <= 0:  
   print(""Plese enter a positive integer"")  
elif nterms == 1:  
   print(""Fibonacci sequence:"")  
   print(n1)  
else:  
   print(""Fibonacci sequence:"")  
   print(n1,"","",n2,end=', ')  
   while count < nterms:  
       nth = n1 + n2  
       print(nth,end=' , ')  
       # update values  
       n1 = n2  
       n2 = nth  
       count += 1  
       
"
"52 write a program to check Armstrong number
","
num = int(input(""Enter a number: ""))  
sum = 0  
temp = num  
  
while temp > 0:  
   digit = temp % 10  
   sum += digit ** 3  
   temp //= 10  
  
if num == sum:  
   print(num,""is an Armstrong number"")  
else:  
   print(num,""is not an Armstrong number"")  
   
"
"53 write a program to find Armstrong number in an interval
","
lower = int(input(""Enter lower range: ""))  
upper = int(input(""Enter upper range: ""))  
  
for num in range(lower,upper + 1):  
   sum = 0  
   temp = num  
   while temp > 0:  
       digit = temp % 10  
       sum += digit ** 3  
       temp //= 10  
       if num == sum:  
            print(num)  
            
"
"54 write a  program to find the sum of natural numbers
","
num = int(input(""Enter a number: ""))  
  
if num < 0:  
   print(""Enter a positive number"")  
else:  
   sum = 0  
   # use while loop to iterate un till zero  
   while(num > 0):  
       sum += num  
       num -= 1  
   print(""The sum is"",sum)  

"
"55 write a  program to find LCM
","
def lcm(x, y):  
   if x > y:  
       greater = x  
   else:  
       greater = y  
   while(True):  
       if((greater % x == 0) and (greater % y == 0)):  
           lcm = greater  
           break  
       greater += 1  
   return lcm  
  
  
num1 = int(input(""Enter first number: ""))  
num2 = int(input(""Enter second number: ""))  
print(""The L.C.M. of"", num1,""and"", num2,""is"", lcm(num1, num2)) 

"
"56 write a  program to find HCF
","
def hcf(x, y):  
   if x > y:  
       smaller = y  
   else:  
       smaller = x  
   for i in range(1,smaller + 1):  
       if((x % i == 0) and (y % i == 0)):  
           hcf = i  
   return hcf  
  
num1 = int(input(""Enter first number: ""))  
num2 = int(input(""Enter second number: ""))  
print(""The H.C.F. of"", num1,""and"", num2,""is"", hcf(num1, num2))  

"
"57 write a  program to convert decimal to binary, octal and hexadecimal
","dec = int(input(""Enter a decimal number: ""))  
  
print(bin(dec),""in binary."")  
print(oct(dec),""in octal."")  
print(hex(dec),""in hexadecimal."")

"
"58 python program to find ascii value of a character
","
c = input(""Enter a character: "")  
print(""The ASCII value of '"" + c + ""' is"",ord(c))

"
"59 write a program to make a simple calculator
","

def add(x, y):  
   """"""This function adds two numbers""""""
   return x + y 
def subtract(x, y): 
   """"""This function subtracts two numbers"""""" 
   return x - y 
def multiply(x, y): 
   """"""This function multiplies two numbers"""""" 
   return x * y 
def divide(x, y): 
   """"""This function divides two numbers""""""  
   return x / y  

print(""Select operation."")  
print(""1.Add"")  
print(""2.Subtract"")  
print(""3.Multiply"")  
print(""4.Divide"")  
  
choice = input(""Enter choice(1/2/3/4):"")  
  
num1 = int(input(""Enter first number: ""))  
num2 = int(input(""Enter second number: ""))  
  
if choice == '1':  
   print(num1,""+"",num2,""="", add(num1,num2))  
  
elif choice == '2':  
   print(num1,""-"",num2,""="", subtract(num1,num2))  
  
elif choice == '3':  
   print(num1,""*"",num2,""="", multiply(num1,num2))  
elif choice == '4':  
   print(num1,""/"",num2,""="", divide(num1,num2))  
else:  
   print(""Invalid input"")    
   
"
"60 write a  program to sort words in alphabetic order
","
my_str = input(""Enter a string: "")  
"
" breakdown the string into a list of words  
","words = my_str.split()  
"
" sort the list  
","words.sort()  
"
" display the sorted words  
","for word in words:  
   print(word)  
   
"
"61 write a program to print the elements of an array present on even position
","arr = [1, 2, 3, 4, 5];     
     
print(""Elements of given array present on even position: "");    
    
for i in range(1, len(arr), 2):    
    print(arr[i]);   
    
"
"62 write a program to sort the elements of the array
","
arr = [5, 2, 8, 7, 1];     
temp = 0;    
print(""Elements of original array: "");    
for i in range(0, len(arr)):    
    print(arr[i], end="" "");    
     
for i in range(0, len(arr)):    
    for j in range(i+1, len(arr)):    
        if(arr[i] > arr[j]):    
            temp = arr[i];    
            arr[i] = arr[j];    
            arr[j] = temp;    
     
print();    
     
print(""Elements of array sorted in ascending order: "");    
for i in range(0, len(arr)):    
    print(arr[i], end="" "");   
    
"
"63 write a program to check if the given number is a disarium number
","
def calculateLength(n):    
    length = 0;    
    while(n != 0):    
        length = length + 1;    
        n = n//10;    
    return length;    
     
num = 175;    
rem = sum = 0;    
len = calculateLength(num);    
     
n = num;    
     
while(num > 0):    
    rem = num%10;    
    sum = sum + int(rem**len);    
    num = num//10;    
    len = len - 1;    
     
if(sum == n):    
    print(str(n) + "" is a disarium number"");    
else:    
    print(str(n) + "" is not a disarium number"");   
    
"
"64 write a program to print all disarium numbers between 1 and 100
","
def calculateLength(n):    
    length = 0;    
    while(n != 0):    
        length = length + 1;    
        n = n//10;    
    return length;    
   
def sumOfDigits(num):    
    rem = sum = 0;    
    len = calculateLength(num);    
        
    while(num > 0):    
        rem = num%10;    
        sum = sum + (rem**len);    
        num = num//10;    
        len = len - 1;    
    return sum;    
      
result = 0;    
     
print(""Disarium numbers between 1 and 100 are"");    
for i in range(1, 101):    
    result = sumOfDigits(i);    
        
    if(result == i):    
        print(i),  
        
"
"65 write a program to add two matrices using nested loop
","
X = [[12,7,3],
    [4 ,5,6],
    [7 ,8,9]]

Y = [[5,8,1],
    [6,7,3],
    [4,5,9]]

result = [[0,0,0],
         [0,0,0],
         [0,0,0]]

"
" iterate through rows
","for i in range(len(X)):
   # iterate through columns
   for j in range(len(X[0])):
       result[i][j] = X[i][j] + Y[i][j]

for r in result:
   print(r)  

"
"66 write a program to transpose a matrix using a nested loop
","
X = [[12,7],
    [4 ,5],
    [3 ,8]]

result = [[0,0,0],
         [0,0,0]]

"
" iterate through rows
","for i in range(len(X)):
   # iterate through columns
   for j in range(len(X[0])):
       result[j][i] = X[i][j]

for r in result:
   print(r)  

"
"67 write a program to multiply two matrices using nested loops
","

X = [[12,7,3],
    [4 ,5,6],
    [7 ,8,9]]

Y = [[5,8,1,2],
    [6,7,3,0],
    [4,5,9,1]]

result = [[0,0,0,0],
         [0,0,0,0],
         [0,0,0,0]]


for i in range(len(X)):

   for j in range(len(Y[0])):

       for k in range(len(Y)):
           result[i][j] += X[i][k] * Y[k][j]

for r in result:
   print(r)   
   
"
"68 write a program to remove punctuation from a string 
","
punctuations = '''!()-[]{};:'""\,<>./?@#$%^&*_~'''

my_str = ""Hello!!!, he said ---and went.""

no_punct = """"
for char in my_str:
   if char not in punctuations:
       no_punct = no_punct + char

print(no_punct)

"
"69 write a program to shuffle a deck of card
","
import itertools, random

deck = list(itertools.product(range(1,14),['Spade','Heart','Diamond','Club']))
random.shuffle(deck)

print(""You got:"")
for i in range(5):
   print(deck[i][0], ""of"", deck[i][1])
   
"
"70 write a program to display the powers of 2 using anonymous function
","
terms = 10
result = list(map(lambda x: 2 ** x, range(terms)))

print(""The total terms are:"",terms)
for i in range(terms):
   print(""2 raised to power"",i,""is"",result[i])

"
"71 write a program to add 2 binary numbers
","
num1 = '00001'
num2 = '10001'

sum = bin(int(num1,2) + int(num2,2))
print(sum)

"
"71 write a program to find simple interest 
","
p = float(input(""Enter the principle amount : ""))
r = float(input(""Enter the rate of interest : ""))
t = float(input(""Enter the time in the years: ""))

"
" calculating simple interest
","si = (p*r*t)/100

"
" printing the values
","print(""Principle amount: "", p)
print(""Interest rate   : "", r)
print(""Time in years   : "", t)
print(""Simple Interest : "", si)

"
"72 write a program to find compound interest 
","
p = float(input(""Enter the principle amount : ""))
r = float(input(""Enter the rate of interest : ""))
t = float(input(""Enter the time in the years: ""))

"
" calculating compound interest
","ci =  p * (pow((1 + r / 100), t)) 

"
" printing the values
","print(""Principle amount  : "", p)
print(""Interest rate     : "", r)
print(""Time in years     : "", t)
print(""compound Interest : "", ci)

"
"73 write a program to print a pattern of stars (*)
","
for row in range (0,5):
    for column in range (0, row+1):
        print (""*"", end="""")

    # ending row
    print('\r')
    
"
"74 write a program to return the absolute value in Python
","
def get_absolute_value(n):
	if n >= 0:
		return n
	else:
		return -n

print(get_absolute_value(101))

"
"75 write a program to find the power of a number
","
a = 10
b = 3

result = a**b

print (a, "" to the power of "", b, "" is = "", result)

"
"76 write a program to print the binary value of the numbers from 1 to N
","
n = int(input(""Enter the value of N: ""))

for i in range(1, n+1):
    print(""Binary value of "", i, "" is: "", bin(i))
    
"
"77 write a program to find number of bits necessary to represent an integer in binary
","
num = int(input(""Enter an integer number: ""))

bits = num.bit_length()

print(""bits required to store "", num, "" = "", bits)
print(""binary value of "", num, "" is = "", bin(num))

"
"78 write a program to find the difference between 2 lists
","
list1 = [10, 20, 30, 40, 50]
list2 = [10, 20, 30, 60, 70]

print ""list1:"", list1
print ""list2:"", list2

print ""Difference elements:""
print (list (set(list1) - set (list2)))

"
"79 write a program to add an element at specified index in a list
","
list = [10, 20, 30]
print (list)
list.insert (1, ""ABC"")
print (list)
list.insert (3, ""PQR"")
print (list)

"
